Song Name,Spotify Link,Album Art Link
i'm alone because i love you eddiecochran,https://open.spotify.com/track/3IpnoA8oN63UNX3Xy8VrQB,https://i.scdn.co/image/ab67616d0000b27338479e4947a297845ff84f20
i've grown accustomed to her face johnnymathis,https://open.spotify.com/track/2rnCeiPRTCalSnlBhiiQez,https://i.scdn.co/image/ab67616d0000b273f26df1d3bc817ecbb6409f59
speak softly love andywilliams,https://open.spotify.com/track/3NNM8rlskOvhul2y9PDl8u,https://i.scdn.co/image/ab67616d0000b27395d8b812a418bfcac8047e7c
teen age goodnight thechordettes,https://open.spotify.com/track/5xn0xk4vV8wDKNO2ncCCvc,https://i.scdn.co/image/ab67616d0000b27370d02684d8fa45e029874683
"love, love alone harrybelafonte",https://open.spotify.com/track/12sr3qgnj5mMDb6kAeTZjV,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
now i know thekeynotes,https://open.spotify.com/track/5J4F79SLhKnv5Q5iu0MwCJ,https://i.scdn.co/image/ab67616d0000b273113ebaa17340e950b500fd36
tell me you love me thekeynotes,https://open.spotify.com/track/5JAYDuLRkODlVt6dgoalKk,https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6
still lavernbaker,https://open.spotify.com/track/3IaZZj2USNXAvWQIH4z79y,https://i.scdn.co/image/ab67616d0000b2735553b3d07de7325715dea32b
i don't know thekeynotes,https://open.spotify.com/track/4G9addS7Yq5ihZBQLXG2Mj,https://i.scdn.co/image/ab67616d0000b273561373f098d20957ca23c29e
suno sunaoon tumhen ek kahani pradeepkumar,https://open.spotify.com/track/38lQQdlbSMnHq3rjW9Vzhj,https://i.scdn.co/image/ab67616d0000b2733f25a9e36efdc0adb6d9f081
i'll see you in my dreams norrieparamor,https://open.spotify.com/track/6lLLFAV0QALDmAMqOruMaR,https://i.scdn.co/image/ab67616d0000b273557f757a879ce844aaf40def
"i surrender, dear lespaul",https://open.spotify.com/track/2oIJcLFfmcNNaNpMJzBUwG,https://i.scdn.co/image/ab67616d0000b273f75e72d49d763a50365ea4fd
titulos principio esquivel!,https://open.spotify.com/track/0TLSNteWYITBXOvFemZyzx,https://i.scdn.co/image/ab67616d0000b273b5e24735511bd3a1be4dedd1
in the middle of nowhere theplatters,https://open.spotify.com/track/0S8ibKBl3tjRmYbZhGHNhG,https://i.scdn.co/image/ab67616d0000b273913ca31ce94d4d3c77d27eb2
you are too beautiful theplatters,https://open.spotify.com/track/4qEG5PNsBe4csggeRY6taU,https://i.scdn.co/image/ab67616d0000b27335091be9560cae1da7948a8b
that's all i need lavernbaker,https://open.spotify.com/track/7pFJgOHXzSxZ6D6hPi0EBv,https://i.scdn.co/image/ab67616d0000b273e5a3d1258466fac94bfd755f
aagaya veedhiyil ghantasala,https://open.spotify.com/track/7aBJM6bbqX5vwmzOG40C4q,https://i.scdn.co/image/ab67616d0000b273b1a8474f882f9e8d451e20d3
don't blame me theplatters,https://open.spotify.com/track/1ntGJDSakqsaw1KhptKrB5,https://i.scdn.co/image/ab67616d0000b273adfc1ac5836f96adac580271
between the devil and the deep blue sea perrycomo,https://open.spotify.com/track/6e3yQoN3kk9Md45BjN6NJq,https://i.scdn.co/image/ab67616d0000b273679d536ce9e869990db5f5c1
birth of the blues perrycomo,https://open.spotify.com/track/1JTsWS6IZQ1fTR4QzjpIr0,https://i.scdn.co/image/ab67616d0000b2732027745ea676490e7d3376ed
where can i go? johnnymathis,https://open.spotify.com/track/4uxsv9PjV3Yeyn51RdWvGJ,https://i.scdn.co/image/ab67616d0000b27372ddee406b1d5f70de813c64
mona lisa frankielaine,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8,https://i.scdn.co/image/ab67616d0000b27344550489aedc9e9e477bc061
